time_s,box_vx,box_vy,box_vz,ball_vx,ball_vy,ball_vz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-03,5.697316490113735199e-03,9.868041612207889557e-03,-1.139086112380027771e-02,5.506413872353732586e-04,9.537388687022030354e-04,-8.433396928012371063e-03
2.000000000000000042e-03,1.251374743878841400e-02,2.167444676160812378e-02,-1.778301782906055450e-02,5.506413872353732586e-04,9.537388687022030354e-04,-1.824339665472507477e-02
3.000000000000000062e-03,1.907085813581943512e-02,3.303169459104537964e-02,-2.287856861948966980e-02,5.506413872353732586e-04,9.537388687022030354e-04,-2.805339731276035309e-02
4.000000000000000083e-03,1.980891264975070953e-02,3.431004285812377930e-02,-3.932941332459449768e-02,2.660752972587943077e-03,4.608560353517532349e-03,-3.258811682462692261e-02
5.000000000000000104e-03,2.575861103832721710e-02,4.461522400379180908e-02,-4.138790816068649292e-02,2.660752972587943077e-03,4.608560353517532349e-03,-4.239811748266220093e-02
6.000000000000000125e-03,3.154830262064933777e-02,5.464326590299606323e-02,-4.264636710286140442e-02,2.660752972587943077e-03,4.608560353517532349e-03,-5.220811814069747925e-02
7.000000000000000146e-03,2.927158027887344360e-02,5.069986730813980103e-02,-6.092439219355583191e-02,5.661794450134038925e-03,9.806524962186813354e-03,-5.451550334692001343e-02
8.000000000000000167e-03,3.306543081998825073e-02,5.728070810437202454e-02,-6.292419880628585815e-02,5.661794450134038925e-03,9.806524962186813354e-03,-6.432550400495529175e-02
9.000000000000001055e-03,3.249247372150421143e-02,5.628441646695137024e-02,-7.375256717205047607e-02,8.358824998140335083e-03,1.447941362857818604e-02,-6.739130616188049316e-02
1.000000000000000021e-02,3.739035502076148987e-02,6.476782262325286865e-02,-7.055202871561050415e-02,8.358824998140335083e-03,1.447941362857818604e-02,-7.720130681991577148e-02
1.099999999999999936e-02,4.048070684075355530e-02,7.009606808423995972e-02,-7.113584876060485840e-02,8.358824998140335083e-03,1.447941362857818604e-02,-8.701130747795104980e-02
1.200000000000000025e-02,3.680876269936561584e-02,6.372781842947006226e-02,-8.617077767848968506e-02,1.188993733376264572e-02,2.053068205714225769e-02,-8.806356787681579590e-02
1.300000000000000114e-02,3.606442362070083618e-02,6.246372684836387634e-02,-9.253138303756713867e-02,1.418052893131971359e-02,2.452011220157146454e-02,-9.212324023246765137e-02
1.400000000000000029e-02,3.617062047123908997e-02,6.266829371452331543e-02,-9.586473554372787476e-02,1.605910621583461761e-02,2.783640474081039429e-02,-9.716896712779998779e-02
1.499999999999999944e-02,3.601068258285522461e-02,6.238579750061035156e-02,-9.904692322015762329e-02,1.771475747227668762e-02,3.071401268243789673e-02,-1.028290688991546631e-01
1.600000000000000033e-02,3.584903106093406677e-02,6.209893897175788879e-02,-1.015126854181289673e-01,1.929537951946258545e-02,3.345354646444320679e-02,-1.086855307221412659e-01
1.700000000000000122e-02,3.570528700947761536e-02,6.184236332774162292e-02,-1.033216863870620728e-01,2.087979018688201904e-02,3.619123995304107666e-02,-1.145416200160980225e-01
1.800000000000000211e-02,3.636824712157249451e-02,6.298921257257461548e-02,-1.055293008685112000e-01,2.233842760324478149e-02,3.869678452610969543e-02,-1.200552657246589661e-01
1.899999999999999953e-02,3.778375312685966492e-02,6.544025242328643799e-02,-1.085480898618698120e-01,2.322587557137012482e-02,4.023341462016105652e-02,-1.248466521501541138e-01
2.000000000000000042e-02,3.914390131831169128e-02,6.779581308364868164e-02,-1.118423193693161011e-01,2.407532185316085815e-02,4.170406237244606018e-02,-1.291620433330535889e-01
2.100000000000000130e-02,4.044675827026367188e-02,7.005237787961959839e-02,-1.151628196239471436e-01,2.488725632429122925e-02,4.310971871018409729e-02,-1.331273615360260010e-01
2.199999999999999872e-02,4.169227555394172668e-02,7.220976799726486206e-02,-1.183952540159225464e-01,2.566248737275600433e-02,4.445179924368858337e-02,-1.368082463741302490e-01
2.299999999999999961e-02,4.288122802972793579e-02,7.426922768354415894e-02,-1.214886754751205444e-01,2.640196494758129120e-02,4.573200643062591553e-02,-1.402417719364166260e-01
2.400000000000000050e-02,4.401478916406631470e-02,7.623278349637985229e-02,-1.244219094514846802e-01,2.710670419037342072e-02,4.695211350917816162e-02,-1.434499770402908325e-01
2.500000000000000139e-02,4.509435594081878662e-02,7.810283452272415161e-02,-1.271875351667404175e-01,2.777773514389991760e-02,4.811390861868858337e-02,-1.464481204748153687e-01
2.600000000000000228e-02,4.612141102552413940e-02,7.988190650939941406e-02,-1.297852247953414917e-01,2.841607294976711273e-02,4.921914264559745789e-02,-1.492463052272796631e-01
2.699999999999999969e-02,4.709744080901145935e-02,8.157262206077575684e-02,-1.322177648544311523e-01,2.902271598577499390e-02,5.026952922344207764e-02,-1.518525481224060059e-01
2.800000000000000058e-02,4.802398383617401123e-02,8.317760378122329712e-02,-1.344884335994720459e-01,2.959862910211086273e-02,5.126675590872764587e-02,-1.542744785547256470e-01
2.900000000000000147e-02,4.890252649784088135e-02,8.469943702220916748e-02,-1.366013884544372559e-01,3.014476038515567780e-02,5.221244692802429199e-02,-1.565187871456146240e-01
2.999999999999999889e-02,4.973457008600234985e-02,8.614069968461990356e-02,-1.385612785816192627e-01,3.066202811896800995e-02,5.310821160674095154e-02,-1.585915833711624146e-01
3.099999999999999978e-02,5.052153393626213074e-02,8.750391751527786255e-02,-1.403732448816299438e-01,3.115136735141277313e-02,5.395559594035148621e-02,-1.604986786842346191e-01
3.200000000000000067e-02,5.126486718654632568e-02,8.879153430461883545e-02,-1.420414745807647705e-01,3.161362931132316589e-02,5.475613102316856384e-02,-1.622459441423416138e-01
3.300000000000000155e-02,5.196596309542655945e-02,9.000597149133682251e-02,-1.435705423355102539e-01,3.204969316720962524e-02,5.551131069660186768e-02,-1.638384163379669189e-01
3.400000000000000244e-02,5.262617021799087524e-02,9.114959090948104858e-02,-1.449647247791290283e-01,3.246039524674415588e-02,5.622260272502899170e-02,-1.652814000844955444e-01
